Web of Science Categories	Record Count	% of 18,860
Gastroenterology Hepatology	63	0.334
Hematology	58	0.308
Ophthalmology	58	0.308
Psychology Applied	58	0.308
Sport Sciences	57	0.302
Urban Studies	57	0.302
Acoustics	55	0.292
Critical Care Medicine	55	0.292
Operations Research Management Science	54	0.286
Peripheral Vascular Disease	54	0.286
Engineering Electrical Electronic	53	0.281
Neuroimaging	51	0.270
Mycology	50	0.265
Geriatrics Gerontology	49	0.260
Respiratory System	49	0.260
Virology	49	0.260
Dentistry Oral Surgery Medicine	48	0.255
Social Sciences Interdisciplinary	47	0.249
Engineering Biomedical	46	0.244
Management	45	0.239
Reproductive Biology	44	0.233
Engineering Industrial	43	0.228
Instruments Instrumentation	43	0.228
Otorhinolaryngology	42	0.223
Health Policy Services	41	0.217
Anatomy Morphology	40	0.212
Dermatology	40	0.212
Geochemistry Geophysics	40	0.212
Archaeology	39	0.207
Engineering Chemical	39	0.207
Chemistry Medicinal	38	0.201
Green Sustainable Science Technology	38	0.201
Medicine Legal	38	0.201
Astronomy Astrophysics	36	0.191
Education Scientific Disciplines	36	0.191
Urology Nephrology	36	0.191
Chemistry Applied	35	0.186
Materials Science Multidisciplinary	35	0.186
Substance Abuse	35	0.186
Chemistry Physical	34	0.180
Transportation	34	0.180
Agricultural Engineering	33	0.175
Anesthesiology	33	0.175
Regional Urban Planning	33	0.175
Spectroscopy	33	0.175
Information Science Library Science	32	0.170
Sociology	32	0.170
Computer Science Theory Methods	31	0.164
Geology	29	0.154
Nursing	29	0.154
Pathology	29	0.154
Communication	28	0.148
Developmental Biology	28	0.148
Family Studies	28	0.148
Engineering Multidisciplinary	27	0.143
Physics Applied	27	0.143
Social Work	27	0.143
Construction Building Technology	26	0.138
Emergency Medicine	26	0.138
Ergonomics	25	0.133
Gerontology	24	0.127
Rheumatology	24	0.127
Social Sciences Biomedical	24	0.127
Education Special	23	0.122
Computer Science Software Engineering	22	0.117
Automation Control Systems	21	0.111
Criminology Penology	19	0.101
Transplantation	19	0.101
Transportation Science Technology	19	0.101
Allergy	18	0.095
Mathematics Applied	18	0.095
Political Science	18	0.095
Medical Laboratory Technology	17	0.090
Business	15	0.080
Nanoscience Nanotechnology	15	0.080
Engineering Geological	14	0.074
Materials Science Biomaterials	13	0.069
Nuclear Science Technology	13	0.069
Physics Multidisciplinary	13	0.069
Engineering Manufacturing	12	0.064
Physics Atomic Molecular Chemical	12	0.064
Business Finance	11	0.058
Engineering Mechanical	11	0.058
Hospitality Leisure Sport Tourism	11	0.058
Agricultural Economics Policy	10	0.053
Demography	10	0.053
Humanities Multidisciplinary	10	0.053
International Relations	10	0.053
Polymer Science	10	0.053
Materials Science Paper Wood	9	0.048
Mathematics	9	0.048
Primary Health Care	9	0.048
Computer Science Cybernetics	8	0.042
Crystallography	8	0.042
Optics	8	0.042
Telecommunications	8	0.042
Thermodynamics	8	0.042
Cell Tissue Engineering	7	0.037
Mineralogy	7	0.037
Public Administration	7	0.037
Computer Science Hardware Architecture	6	0.032
Development Studies	6	0.032
Engineering Ocean	6	0.032
Law	6	0.032
Music	6	0.032
Social Issues	6	0.032
Chemistry Inorganic Nuclear	5	0.027
Mechanics	5	0.027
Physics Mathematical	5	0.027
Industrial Relations Labor	4	0.021
Integrative Complementary Medicine	4	0.021
Materials Science Characterization Testing	4	0.021
Microscopy	4	0.021
Physics Particles Fields	4	0.021
Religion	4	0.021
Chemistry Organic	3	0.016
Engineering Aerospace	3	0.016
Ethics	3	0.016
History Philosophy Of Science	3	0.016
Materials Science Ceramics	3	0.016
Mining Mineral Processing	3	0.016
Philosophy	3	0.016
Physics Condensed Matter	3	0.016
Physics Fluids Plasmas	3	0.016
Physics Nuclear	3	0.016
Andrology	2	0.011
Area Studies	2	0.011
Electrochemistry	2	0.011
Engineering Marine	2	0.011
Engineering Petroleum	2	0.011
Literature	2	0.011
Logic	2	0.011
Materials Science Coatings Films	2	0.011
Materials Science Composites	2	0.011
Materials Science Textiles	2	0.011
Robotics	2	0.011
Art	1	0.005
Asian Studies	1	0.005
Cultural Studies	1	0.005
Ethnic Studies	1	0.005
History	1	0.005
History Of Social Sciences	1	0.005
Literary Theory Criticism	1	0.005
Literature Romance	1	0.005
Medical Ethics	1	0.005
Metallurgy Metallurgical Engineering	1	0.005
Psychology Psychoanalysis	1	0.005
Women S Studies	1	0.005
