Web of Science Categories	Record Count	% of 18,860
Ecology	3288	17.434
Environmental Sciences	1749	9.274
Multidisciplinary Sciences	1659	8.796
Evolutionary Biology	1091	5.785
Plant Sciences	1080	5.726
Zoology	1026	5.440
Marine Freshwater Biology	994	5.270
Biodiversity Conservation	793	4.205
Genetics Heredity	750	3.977
Statistics Probability	594	3.150
Biochemistry Molecular Biology	575	3.049
Forestry	559	2.964
Biology	450	2.386
Microbiology	448	2.375
Geosciences Multidisciplinary	425	2.253
Entomology	422	2.238
Behavioral Sciences	418	2.216
Agronomy	412	2.185
Fisheries	404	2.142
Neurosciences	391	2.073
Public Environmental Occupational Health	368	1.951
Oceanography	353	1.872
Psychology Experimental	338	1.792
Biotechnology Applied Microbiology	336	1.782
Soil Science	306	1.622
Water Resources	301	1.596
Veterinary Sciences	288	1.527
Oncology	285	1.511
Geography Physical	281	1.490
Linguistics	279	1.479
Computer Science Interdisciplinary Applications	263	1.394
Psychology Multidisciplinary	243	1.288
Food Science Technology	234	1.241
Ornithology	234	1.241
Psychiatry	220	1.166
Mathematical Computational Biology	216	1.145
Infectious Diseases	212	1.124
Clinical Neurology	210	1.113
Agriculture Multidisciplinary	206	1.092
Meteorology Atmospheric Sciences	199	1.055
Psychology	196	1.039
Pharmacology Pharmacy	195	1.034
Parasitology	194	1.029
Engineering Environmental	189	1.002
Biochemical Research Methods	186	0.986
Agriculture Dairy Animal Science	181	0.960
Cell Biology	169	0.896
Limnology	163	0.864
Toxicology	155	0.822
Radiology Nuclear Medicine Medical Imaging	151	0.801
Language Linguistics	150	0.795
Environmental Studies	147	0.779
Surgery	143	0.758
Physiology	140	0.742
Mathematics Interdisciplinary Applications	139	0.737
Tropical Medicine	135	0.716
Medicine Research Experimental	134	0.710
Medicine General Internal	130	0.689
Endocrinology Metabolism	129	0.684
Immunology	125	0.663
Psychology Developmental	124	0.657
Health Care Sciences Services	121	0.642
Psychology Clinical	121	0.642
Education Educational Research	117	0.620
Social Sciences Mathematical Methods	117	0.620
Economics	116	0.615
Cardiac Cardiovascular Systems	115	0.610
Remote Sensing	114	0.604
Audiology Speech Language Pathology	107	0.567
Horticulture	107	0.567
Nutrition Dietetics	98	0.520
Psychology Biological	97	0.514
Anthropology	90	0.477
Medical Informatics	86	0.456
Rehabilitation	86	0.456
Energy Fuels	85	0.451
Engineering Civil	84	0.445
Paleontology	82	0.435
Pediatrics	80	0.424
Psychology Social	79	0.419
Imaging Science Photographic Technology	77	0.408
Obstetrics Gynecology	77	0.408
Chemistry Multidisciplinary	75	0.398
Computer Science Information Systems	75	0.398
Chemistry Analytical	70	0.371
Computer Science Artificial Intelligence	70	0.371
Orthopedics	70	0.371
Psychology Educational	69	0.366
Psychology Mathematical	69	0.366
Geography	67	0.355
Biophysics	65	0.345
